Country,Price
Switzerland,7.04
Norway,6.3
Sweden,6.2
United States,5.65
Canada,5.31
Israel,5.16
Uruguay,5.11
Euro area,5.02
Australia,4.79
New Zealand,4.76
Britain,4.75
Denmark,4.74
Brazil,4.36
Singapore,4.31
Kuwait,4.16
Czech Republic,4.08
United Arab Emirates,4.02
South Korea,4
Bahrain,3.98
Argentina,3.94
Chile,3.94
Thailand,3.9
Costa Rica,3.84
Croatia,3.75
Saudi Arabia,3.73
Honduras,3.66
Nicaragua,3.64
Pakistan,3.6
Qatar,3.57
Japan,3.55
Sri Lanka,3.51
China,3.46
Poland,3.44
Colombia,3.37
Guatemala,3.36
Peru,3.26
Mexico,3.18
Jordan,3
Vietnam,3
Oman,2.99
Hungary,2.94
Moldova,2.89
Philippines,2.82
Egypt,2.71
Hong Kong,2.7
Taiwan,2.57
India,2.55
Romania,2.53
Ukraine,2.39
Malaysia,2.36
Indonesia,2.34
Turkey,2.34
Azerbaijan,2.32
South Africa,2.28
Russia,2.27
Lebanon,1.68
